#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium	5
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__	5
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae	4
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__CAJCJE01	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__CAJCJE01|s__	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__GCA-003244245	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__GCA-003244245|s__	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__Pseudonocardia	2
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__Pseudonocardia|s__	2
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Streptosporangiales	2
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae	2
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__|s__	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Chersky-822	1
d__Bacteria|p__Actinomycetota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Chersky-822|s__	1
d__Bacteria|p__Actinomycetota|c__Thermoleophilia	9
d__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales	9
d__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9	3
d__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__	3
d__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__|s__	3
d__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae	6
d__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__	1
d__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__|s__	1
d__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-744	5
d__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-744|s__	5
d__Bacteria|p__Bacteroidota	4
d__Bacteria|p__Bacteroidota|c__Bacteroidia	4
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Edaphocola	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Edaphocola|s__	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cytophagaceae	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cytophagaceae|g__Cytophaga	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cytophagaceae|g__Cytophaga|s__	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Sphingobacteriaceae	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Mucilaginibacter	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Mucilaginibacter|s__	2
d__Bacteria|p__Desulfobacterota_B	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae|g__JAKAVN01	1
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae|g__JAKAVN01|s__	1
d__Bacteria|p__Eremiobacterota	1
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria	1
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales	1
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae	1
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Elarobacter	1
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Elarobacter|s__	1
d__Bacteria|p__Methylomirabilota	1
d__Bacteria|p__Methylomirabilota|c__Methylomirabilia	1
d__Bacteria|p__Methylomirabilota|c__Methylomirabilia|o__Rokubacteriales	1
d__Bacteria|p__Methylomirabilota|c__Methylomirabilia|o__Rokubacteriales|f__CSP1-6	1
d__Bacteria|p__Methylomirabilota|c__Methylomirabilia|o__Rokubacteriales|f__CSP1-6|g__	1
d__Bacteria|p__Methylomirabilota|c__Methylomirabilia|o__Rokubacteriales|f__CSP1-6|g__|s__	1
d__Bacteria|p__Myxococcota	3
d__Bacteria|p__Myxococcota|c__Myxococcia	2
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales	2
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae	2
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae|g__RPRB01	2
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae|g__RPRB01|s__	2
d__Bacteria|p__Myxococcota|c__Polyangia	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae|g__	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae|g__|s__	1
d__Bacteria|p__Planctomycetota	2
d__Bacteria|p__Planctomycetota|c__Planctomycetia	2
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Gemmatales	1
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Gemmatales|f__Gemmataceae	1
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Gemmatales|f__Gemmataceae|g__	1
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Gemmatales|f__Gemmataceae|g__|s__	1
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Planctomycetales	1
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae	1
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__	1
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__|s__	1
d__Bacteria|p__Pseudomonadota	28
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	16
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acidocella	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acidocella|s__	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__ATCC43930	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae|g__	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae|g__|s__	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	2
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	2
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__BOG-938	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__BOG-938|s__	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__CAIOYC01	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__CAIOYC01|s__	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Micavibrionales	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Micavibrionales|f__GCA-2720935	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Micavibrionales|f__GCA-2720935|g__	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Micavibrionales|f__GCA-2720935|g__|s__	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Micropepsales	3
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Micropepsales|f__Micropepsaceae	3
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Micropepsales|f__Micropepsaceae|g__Rhizomicrobium	3
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Micropepsales|f__Micropepsaceae|g__Rhizomicrobium|s__	3
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhizobiales	8
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae	2
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Methylocella	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Methylocella|s__	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Roseiarcus	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Roseiarcus|s__	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhizobiales|f__Methyloligellaceae	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhizobiales|f__Methyloligellaceae|g__Methyloceanibacter	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhizobiales|f__Methyloligellaceae|g__Methyloceanibacter|s__	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae	5
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__VAZQ01	5
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__VAZQ01|s__	5
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	12
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales	4
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	4
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Herbaspirillum	2
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Herbaspirillum|s__	2
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia	1
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__	1
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pararobbsia	1
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pararobbsia|s__	1
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales	2
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae	2
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__13-2-20CM-66-19	1
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__13-2-20CM-66-19|s__	1
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__Bog-1198	1
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__Bog-1198|s__	1
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Xanthomonadales	6
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	5
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Luteibacter	1
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Luteibacter|s__	1
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter	4
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter|s__	4
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	1
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Luteimonas_E	1
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Luteimonas_E|s__	1
d__Bacteria|p__Verrucomicrobiota	10
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae	10
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales	9
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__JAFAMB01	4
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__JAFAMB01|g__	3
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__JAFAMB01|g__|s__	3
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__JAFAMB01|g__JAFAVN01	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__JAFAMB01|g__JAFAVN01|s__	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450	5
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450|g__	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450|g__|s__	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450|g__AV40	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450|g__AV40|s__	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450|g__JAJPGZ01	2
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450|g__JAJPGZ01|s__	2
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450|g__Udaeobacter	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450|g__Udaeobacter|s__	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Methylacidiphilales	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Methylacidiphilales|f__GAS474	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Methylacidiphilales|f__GAS474|g__	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Methylacidiphilales|f__GAS474|g__|s__	1
