#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__OLB17|s__	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__PSRF01	9
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__PSRF01|s__	9
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__QHXM01	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__QHXM01|s__	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__UBA11740	10
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__UBA11740|s__	10
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074|g__JAJVID01	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074|g__JAJVID01|s__	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074|g__JAKEHZ01	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074|g__JAKEHZ01|s__	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656|g__JADGNW01	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656|g__JADGNW01|s__	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia	108
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__20CM-2-55-15	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__20CM-2-55-15|f__20CM-2-55-15	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__20CM-2-55-15|f__20CM-2-55-15|g__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__20CM-2-55-15|f__20CM-2-55-15|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales	40
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541	40
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__Acidoferrum	19
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__Acidoferrum|s__	19
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__Palsa-147	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__Palsa-147|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__Palsa-295	19
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__Palsa-295|s__	17
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Acidoferrales|f__UBA7541|g__Palsa-295|s__Palsa-295 sp003156635	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales	12
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae	12
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__Bog-105	3
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__Bog-105|s__	3
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__BOG-234	3
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__BOG-234|s__	3
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__PALSA-243	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__PALSA-243|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__Palsa-89	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__Palsa-89|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__Solibacter	3
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__Solibacter|s__	3
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales	53
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__|g__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae	15
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Bryocella	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Bryocella|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Edaphobacter	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Edaphobacter|s__	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Granulicella_A	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Granulicella_A|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Granulicella_D	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Granulicella_D|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__KBS-83	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__KBS-83|s__	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__PALSA-350	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__PALSA-350|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Paracidobacterium	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Paracidobacterium|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Terracidiphilus	3
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Terracidiphilus|s__	3
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__UBA5172	3
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__UBA5172|s__	3
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Gp1-AA112	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Gp1-AA112|g__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Gp1-AA112|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Gp1-AA117	4
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Gp1-AA117|g__Angelobacter	4
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Gp1-AA117|g__Angelobacter|s__	4
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__JAFAIN01	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__JAFAIN01|g__	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__JAFAIN01|g__|s__	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__JAHFUA01	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__JAHFUA01|g__JAHFUA01	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__JAHFUA01|g__JAHFUA01|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1	29
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__|s__	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Bog-209	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Bog-209|s__	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Gp1-AA124	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Gp1-AA124|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Gp1-AA133	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Gp1-AA133|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Gp1-AA145	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Gp1-AA145|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__JAIQFF01	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__JAIQFF01|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__JAJPHW01	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__JAJPHW01|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__JAMXLI01	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__JAMXLI01|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__PALSA-270	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__PALSA-270|s__	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__QIAJ01	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__QIAJ01|s__	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Sulfotelmatobacter	16
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Sulfotelmatobacter|s__	15
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__SbA1|g__Sulfotelmatobacter|s__Sulfotelmatobacter sp003166855	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__UBA7540	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__UBA7540|f__UBA7540	2
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__UBA7540|f__UBA7540|g__Bog-366	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__UBA7540|f__UBA7540|g__Bog-366|s__Bog-366 sp003171295	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__UBA7540|f__UBA7540|g__Gp13-AA77	1
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__UBA7540|f__UBA7540|g__Gp13-AA77|s__	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia	20
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8	5
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8	5
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__JAJPHC01	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__JAJPHC01|s__	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__QHVT01	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__QHVT01|s__	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066	5
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6	4
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6|g__	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6|g__Gp7-AA6	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6|g__Gp7-AA6|s__	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__UBA5066	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__UBA5066|g__Fen-183	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__UBA5066|g__Fen-183|s__	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704	10
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704	10
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__|s__	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__UBA5704	7
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__UBA5704|s__	7
d__Bacteria|p__Acidobacteriota|c__UBA6911	1
d__Bacteria|p__Acidobacteriota|c__UBA6911|o__UBA6911	1
d__Bacteria|p__Acidobacteriota|c__UBA6911|o__UBA6911|f__UBA6911	1
d__Bacteria|p__Acidobacteriota|c__UBA6911|o__UBA6911|f__UBA6911|g__	1
d__Bacteria|p__Acidobacteriota|c__UBA6911|o__UBA6911|f__UBA6911|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria	23
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336	5
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336|f__Fen-336	5
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336|f__Fen-336|g__	5
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336|f__Fen-336|g__|s__	5
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales	18
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__|g__	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21	5
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21|g__	4
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21|g__|s__	4
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21|g__2-12-FULL-66-21	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21|g__2-12-FULL-66-21|s__	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__SCN-69-37	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__SCN-69-37|g__	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__SCN-69-37|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999	10
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__	4
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__|s__	4
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__Gp6-AA45	4
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__Gp6-AA45|s__	4
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__JAMQPK01	2
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__JAMQPK01|s__	2
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae|g__WHTT01	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae|g__WHTT01|s__	1
d__Bacteria|p__Actinomycetota	418
d__Bacteria|p__Actinomycetota|c__	3
d__Bacteria|p__Actinomycetota|c__|o__	3
d__Bacteria|p__Actinomycetota|c__|o__|f__	3
d__Bacteria|p__Actinomycetota|c__|o__|f__|g__	3
d__Bacteria|p__Actinomycetota|c__|o__|f__|g__|s__	3
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia	48
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales	32
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__	3
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__|g__	3
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__|g__|s__	3
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793	2
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__Fen-455	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__Fen-455|s__Fen-455 sp003170375	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__JAKACA01	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__JAKACA01|s__	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae	5
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Desertimonas	2
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Desertimonas|s__	2
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__JACCUL01	2
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__JACCUL01|s__	2
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__JAENVT01	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__JAENVT01|s__	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01	8
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01|g__	5
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01|g__|s__	5
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01|g__VFJN01	1
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01|g__VFJN01|s__	1
